RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        6685.3       12674.       894.80       700.00      0.14096E+06   6627.8       37.040       96.000    
     2        5436.2       9596.5       686.39       950.00      0.13966E+06   6502.0       38.570       97.000    
     3        3822.1       7158.9       1671.1       250.00      0.13876E+06   6414.3       77.650       97.000    
     4        4235.5       7735.8       1357.5       400.00      0.13758E+06   6306.8       40.860       94.000    
     5        4080.2       8356.2       743.99       600.00      0.13667E+06   6211.5       22.540       100.00    
     6        4459.0       9001.2       684.59       650.00      0.13553E+06   6102.9       42.250       96.000    
     7        4413.0       8522.6       504.20       750.00      0.13442E+06   6000.7       17.180       96.000    
     8        4746.7       9056.3       680.60       800.00      0.13332E+06   5891.0       32.490       96.000    
     9        4345.5       8519.2       261.30       850.00      0.13230E+06   5795.2       32.040       101.00    
    10        4145.6       8119.4       557.79       850.00      0.13139E+06   5699.3       37.050       96.000    
