RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,S_CH4C,DAE
1,6575.3,12442.0,894.8,650.0,140920.0,6625.1,26.45,96.0
2,5647.3,9928.3,686.39,850.0,139520.0,6493.6,14.74,97.0
3,3798.4,7126.1,1671.1,200.0,138600.0,6404.0,55.69,97.0
4,4117.9,7633.5,1357.5,350.0,137410.0,6294.3,19.33,94.0
5,4193.7,8527.5,743.99,600.0,136480.0,6197.3,13.56,100.0
6,4514.0,9104.9,684.59,600.0,135320.0,6087.8,19.75,96.0
7,4417.1,8692.2,504.2,700.0,134180.0,5982.3,6.49,96.0
8,4939.6,9223.5,680.6,700.0,133010.0,5868.9,8.25,96.0
9,4578.7,8820.1,261.3,800.0,131930.0,5769.6,19.38,101.0
10,4643.1,8717.8,557.79,750.0,130840.0,5662.2,7.12,96.0
