RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5229.7       13631.       895.30       2000.0      0.14108E+06   6615.2       226.74       124.00    
     2        5559.4       10209.       1003.4       2450.0      0.13965E+06   6464.8       437.93       148.00    
     3        4385.4       8274.8       1720.5       1050.0      0.13866E+06   6361.4       202.86       110.00    
     4        5304.6       9310.2       1743.4       1600.0      0.13736E+06   6225.4       387.62       140.00    
     5        3969.8       7740.0       744.59       1550.0      0.13654E+06   6135.6       182.18       108.00    
     6        4208.7       8261.8       906.59       2150.0      0.13535E+06   6008.5       360.83       139.00    
     7        4363.7       8466.4       508.30       2000.0      0.13444E+06   5909.7       226.56       116.00    
     8        4803.3       8704.0       1120.5       2300.0      0.13321E+06   5780.5       413.76       147.00    
     9        3589.5       7398.2       261.90       2000.0      0.13245E+06   5696.1       174.81       108.00    
    10        4756.5       9062.5       871.79       2100.0      0.13144E+06   5584.8       334.59       134.00    
