RUNNUM,WRR14,WAGT,RAINCUM,IRCUM,SOC,SON,S_CH4C,DAE
1,5499.8,11352.0,894.8,1150.0,141520.0,6658.2,71.84,96.0
2,3676.5,6813.2,686.39,1400.0,140810.0,6577.5,140.08,97.0
3,3330.9,6722.1,1671.1,550.0,140130.0,6500.7,93.09,97.0
4,3443.1,6466.6,1357.5,750.0,139360.0,6418.1,126.56,94.0
5,3151.1,6547.9,743.99,850.0,138790.0,6349.2,91.2,100.0
6,3225.9,6603.0,684.59,1000.0,138160.0,6277.1,132.41,96.0
7,3349.5,6652.0,504.2,1150.0,137530.0,6204.2,97.98,96.0
8,3402.4,6665.4,680.6,1200.0,136880.0,6131.1,141.11,96.0
9,3098.3,6450.1,261.3,1300.0,136340.0,6064.8,87.47,101.0
10,3335.1,6451.6,557.79,1200.0,135670.0,5989.5,121.14,96.0
