RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        5644.5       9785.0       894.80       450.00      0.14094E+06   6622.8       17.860       96.000    
     2        5042.2       10623.       686.39       1200.0      0.14141E+06   6649.5       110.20       97.000    
     3        5302.6       11765.       1671.1       300.00      0.14142E+06   6656.1       65.820       97.000    
     4        4743.9       10178.       1357.5       600.00      0.14133E+06   6650.7       95.380       94.000    
     5        6531.6       12349.       743.99       250.00      0.14106E+06   6626.6       16.060       100.00    
     6        4498.0       11181.       684.59       900.00      0.14154E+06   6660.5       99.290       96.000    
     7        5787.6       12328.       504.20       1100.0      0.14154E+06   6659.6       70.480       96.000    
     8        4912.5       10534.       680.60       1100.0      0.14138E+06   6650.1       112.23       96.000    
     9        5769.2       13279.       261.30       1250.0      0.14172E+06   6668.9       59.770       101.00    
    10        5303.6       11399.       557.79       1100.0      0.14146E+06   6653.2       97.200       96.000    
