RUNNUM       WRR14        WAGT         RAINCUM      IRCUM        SOC          SON          S_CH4C       DAE        
     1        3757.6       8625.3       894.80       600.00      0.14051E+06   6593.4       42.470       99.000    
     2        3417.8       7810.2       828.99       800.00      0.14046E+06   6587.3       78.350       109.00    
     3        5190.7       10885.       1671.1       200.00      0.14103E+06   6633.7       62.920       95.000    
     4        2536.2       8099.5       1474.0       400.00      0.14065E+06   6604.3       92.130       104.00    
     5        6300.4       12682.       743.09       500.00      0.14102E+06   6624.1       26.760       96.000    
     6        2576.0       8870.7       724.49       650.00      0.14053E+06   6592.9       83.560       104.00    
     7        4489.3       10173.       504.20       650.00      0.14059E+06   6599.9       32.020       97.000    
     8        2259.4       7039.3       764.70       800.00      0.14034E+06   6580.3       84.110       109.00    
     9        5648.2       11930.       261.30       700.00      0.14054E+06   6595.5       13.640       97.000    
    10        3873.2       9323.2       608.59       850.00      0.14058E+06   6596.3       65.270       104.00    
