*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA_v35 driver info:
*     Year: 2015, day: 291, System start
*     Year: 2016, day:  34, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	IR	WL0	CO2C	CH4C	N2ON	NH3	SOC	SON	DOY	CROPSTA	RAIN
 
   291.000    	  0.0000    	  30.000    	  33.000    	  0.0000    	  0.0000    	  10.000    	  8.1239    	  0.0000    	 2.05382E-02	 0.17725    	 1.42172E+05	  6740.4    	  291.00    	  0.0000    	  16.000    
   292.000    	  0.0000    	  30.000    	  33.000    	  0.0000    	  0.0000    	  12.291    	  6.5986    	  0.0000    	 2.03084E-02	 0.18187    	 1.42164E+05	  6739.7    	  292.00    	  0.0000    	  18.800    
   293.000    	  0.0000    	  31.000    	  33.000    	  0.0000    	  0.0000    	  18.005    	  6.8802    	  0.0000    	 2.17434E-02	 0.24053    	 1.42156E+05	  6739.1    	  293.00    	  0.0000    	  28.900    
   294.000    	  0.0000    	  31.000    	  33.000    	  0.0000    	  0.0000    	  32.780    	  7.3205    	  0.0000    	 2.24283E-02	 0.28080    	 1.42147E+05	  6738.3    	  294.00    	  0.0000    	  16.300    
   295.000    	  0.0000    	  31.000    	  33.000    	  0.0000    	  0.0000    	  34.772    	  7.3608    	  0.0000    	 2.25538E-02	 0.30333    	 1.42138E+05	  6737.5    	  295.00    	  0.0000    	  24.300    
   296.000    	  0.0000    	  29.000    	  32.000    	  0.0000    	  0.0000    	  46.208    	  7.3775    	 9.56000E-02	 2.25775E-02	 0.31854    	 1.42129E+05	  6736.8    	  296.00    	  0.0000    	  69.700    
   297.000    	  0.0000    	  28.000    	  32.000    	  0.0000    	  0.0000    	  85.000    	  7.3571    	 0.36170    	 2.19110E-02	 0.31073    	 1.42119E+05	  6736.0    	  297.00    	  0.0000    	  72.300    
   298.000    	  0.0000    	  29.000    	  34.000    	  0.0000    	  0.0000    	  85.000    	  7.3999    	 0.38840    	 2.18114E-02	 0.28569    	 1.42110E+05	  6735.2    	  298.00    	  0.0000    	  2.6000    
   299.000    	  0.0000    	  29.000    	  33.000    	  0.0000    	  0.0000    	  72.082    	  7.5038    	 0.47590    	 2.23587E-02	 0.27115    	 1.42101E+05	  6734.4    	  299.00    	  0.0000    	  26.800    
